"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","group","feature"
1.72087595883414e-50,1.61865524362091,0.922,0.419,2.24574312627855e-46,"Th17","IL9"
9.40838087108002e-22,0.67565433603045,0.97,0.841,1.22779370367594e-17,"Th17","TYMP"
2.79545554414188e-21,0.629431237257471,1,0.997,3.64806948510515e-17,"Th17","S100A6"
1.14336907163929e-20,0.503080728993451,0.996,0.993,1.49209663848927e-16,"Th17","S100A11"
3.30857919052659e-20,0.925976831878854,0.621,0.376,4.3176958436372e-16,"Th17","ETS2"
2.25617836897717e-19,0.514105681112439,0.439,0.175,2.94431277151521e-15,"Th17","DHRS2"
7.9628528453849e-18,0.42863025811231,0.944,0.893,1.03915229632273e-13,"Th17","FLOT1"
1.86311300229661e-15,-0.348749268384001,1,1,2.43136246799707e-11,"Th17","RPS6"
6.84582306839742e-15,0.37409514627321,1,0.993,8.93379910425863e-11,"Th17","CALM1"
8.07450674656186e-15,0.556041097347121,0.885,0.737,1.05372313042632e-10,"Th17","JUN"
1.16515316713566e-14,0.608693501361014,0.989,0.977,1.52052488311204e-10,"Th17","VIM"
2.48840988990891e-14,-0.272785728590215,1,1,3.24737490633113e-10,"Th17","RPS27A"
4.80010947875598e-14,0.38710946602581,0.981,0.934,6.26414286977655e-10,"Th17","PLP2"
5.16049468320244e-14,-0.241346302996392,1,1,6.73444556157918e-10,"Th17","RPS29"
9.78161759948155e-14,0.381369943794278,0.959,0.918,1.27650109673234e-09,"Th17","OCIAD2"
1.08175017202942e-13,0.555202906498024,1,0.985,1.41168397449839e-09,"Th17","ISG15"
2.61278592495671e-13,-0.352080740570119,1,1,3.40968563206851e-09,"Th17","RPL4"
3.55904005573332e-13,-0.422416293224561,0.725,0.847,4.64454727273198e-09,"Th17","EIF4B"
4.41327578788676e-13,-0.354598073258673,1,1,5.75932490319223e-09,"Th17","RPL7"
5.7225778400706e-13,-0.36976468810427,1,0.997,7.46796408129213e-09,"Th17","RPL5"
1.92901767190332e-12,0.18380798434054,0.23,0.073,2.51736806183383e-08,"Th17","S100A2"
3.0434605351299e-12,-0.32722360652547,1,0.999,3.97171599834452e-08,"Th17","RPS24"
4.86259719965803e-12,-0.296378599338008,1,1,6.34568934555372e-08,"Th17","RPS17"
5.09451768299223e-12,0.780858442309341,0.68,0.502,6.64834557630486e-08,"Th17","TIMP1"
6.26273617177077e-12,0.626881708556019,0.914,0.804,8.17287070416085e-08,"Th17","RGCC"
6.92637113687372e-12,-0.321852963254564,0.836,0.914,9.03891433362021e-08,"Th17","AC090498.1"
1.92622095748476e-11,-0.219012925831715,1,1,2.51371834951761e-07,"Th17","RPL15"
2.4996300784281e-11,0.291780219821241,0.48,0.289,3.26201725234868e-07,"Th17","ZNRF1"
3.01258885829773e-11,-0.294482360443538,1,1,3.93142846007854e-07,"Th17","RPL3"
3.24304198277608e-11,-0.232787399940405,1,1,4.23216978752278e-07,"Th17","RPS27"
3.92395794713253e-11,-0.605414884832469,0.171,0.39,5.12076512100795e-07,"Th17","AC092580.4"
3.97326436161516e-11,0.427329840742253,0.985,0.949,5.18510999190778e-07,"Th17","ISG20"
4.73558700014967e-11,0.696934298444821,0.416,0.216,6.17994103519532e-07,"Th17","CTSL"
7.063909657405e-11,0.3556015511329,0.985,0.959,9.21840210291352e-07,"Th17","TAGLN2"
1.03915710841103e-10,-0.215085498735684,1,1,1.3561000264764e-06,"Th17","RPS28"
1.84583513268243e-10,0.54648515753304,0.9,0.789,2.40881484815058e-06,"Th17","ZBED2"
2.30823511132301e-10,-0.261692427193505,1,1,3.01224682027653e-06,"Th17","RPS8"
2.3549248474733e-10,-0.236305468136349,1,1,3.07317692595265e-06,"Th17","RPS7"
2.61096679927979e-10,0.486458804096288,0.911,0.874,3.40731167306013e-06,"Th17","CXCR4"
2.80843534365212e-10,0.420772213943906,0.97,0.956,3.66500812346602e-06,"Th17","GSTO1"
3.87312957668151e-10,-0.328536831088411,0.974,0.989,5.05443409756937e-06,"Th17","SLC25A6"
5.22407266501155e-10,0.21363054056871,0.279,0.119,6.81741482784007e-06,"Th17","IL1R1"
6.00566827638338e-10,0.42037702706055,1,0.995,7.83739710068031e-06,"Th17","TXN"
6.2508909155608e-10,0.485614460419199,0.914,0.815,8.15741264480684e-06,"Th17","TMEM173"
