"feature","score"
"IL9",-65.5360697121642
"RPS27A",49.2056663580206
"RPL7",48.0621756538636
"RPS6",44.3342082405792
"RPS3",42.8884498483001
"RPL3",42.0362659091704
"RPS3A",41.5723080959396
"RPL13A",41.250058856959
"RPS4X",38.8773418504382
"RPLP0",38.6796511714803
"RPL18A",37.442561639568
"S100A11",-36.7470315103668
"RPS8",36.2872431020649
"RPS2",35.9629097515204
"RPL13",35.7999122289043
"RPS16",34.3301836436587
"RPL11",33.7353239696507
"RPS18",33.5527341714035
"RPS13",33.3425770487002
"RPL8",33.3405724129305
"RPSA",33.182399578409
"RPL19",33.1490788541039
"RPL12",32.6751121989887
"IFI6",-32.5649767918513
"RPL21",32.329479162385
"RPL32",32.2952814146308
"RPL22",31.4826565584183
"RPL4",30.9218848838062
"RPS23",30.9167399618159
"RPL15",30.5532286418487
"RPS5",30.5078632463226
"RPL26",29.7721755194222
"RPL27A",29.2965945934345
"TYMP",-29.1667507062129
"RPS12",28.895694095875
"ISG15",-28.2250103701761
"RPLP1",26.8303551737949
"RPS9",26.4975777248254
"RPS14",26.3699208725819
"RPL9",25.9894257031115
"RPS11",25.9823623187792
"RPS25",25.2931695444479
"MYL12B",-24.7108499678612
"RPL10A",24.5630615027677
"EEF1B2",24.4391206419684
"RPL35A",23.5904778372784
"RPL23A",23.5697519228386
"RPL7A",23.5490353023125
"LY6E",-23.3245603071357
"OCIAD2",-23.3047286483617
"RPL24",23.1294461768226
"EEF2",23.0756824991449
"RPL18",22.6017368245352
"CALM1",-22.4988027982144
"RPS28",22.3377606160361
"RPL35",22.1865419506335
"MX1",-22.1196702312037
"GSTO1",-22.0074470898881
"RPL10",21.7752760506451
"IFIT3",-21.4644997260177
"RPL29",21.2275465983921
"PSMB9",-20.75201776565
"EIF3L",20.5065871567428
"RPL5",19.9883698114738
"RPS17",19.9765303709023
"SLC25A6",19.9467553645809
"JUN",-19.5247826184706
"APOBEC3H",-19.3928532823561
"USP18",-19.3898139489523
"ISG20",-19.2164406579487
"RPL34",18.9652526388381
"EEF1A1",18.8062198923178
"RPS19",18.6235334570268
"VOPP1",-18.503636826548
"FTL",18.3795629362039
"TNFAIP8",-18.3550669899535
"VIM",-18.2600528435106
"AC092580.4",18.2010854778976
"RPLP2",18.0804578264249
"RPL27",18.0223054098635
"PLP2",-17.801426179917
"AHCYL2",-17.7984114807085
"RPL30",17.7407302489697
"RPS29",17.474397774703
"DRAP1",-17.4298626471184
"CTSL",-17.2732985834797
"FLOT1",-17.1503722428341
"RPS24",17.126776776177
"IFI35",-17.1026564215533
"RPL36",16.9767938171619
"MYL12A",-16.9110343232682
"SLC4A7",-16.9043615410437
"DHRS2",-16.7458530072002
"CAPG",-16.5813100259749
"REEP5",-16.54283921164
"RPL14",16.4963476026816
"S100A6",-15.9953919945374
"TMSB4X",-15.9311513719038
"DIXDC1",-15.8843849990212
"DDX5",-15.7548768102374
"ATP5G2",15.4563288656966
"RPS15A",15.4400356533382
"GNB2L1",15.3472549844778
"TIMP1",-15.2608405203116
"FNBP1L",-15.225913024611
"CST7",15.0293023499838
"IFIT1",-15.0062655210639
"NACA",14.8854376183498
"BST2",-14.847549704547
"BTF3",14.789970651982
"PARP9",-14.73336705092
"EGLN3",14.4373889870005
"AQP3",-14.4045826564468
"RP11-305L7.1",14.4043451475769
"IRF7",-14.3306362660695
"LAT",-14.2923755508589
"RPS27",14.1219031511997
"IER3",-14.1016095184031
"RPL31",14.0706730370229
"RPL37A",14.0543342590487
"H3F3B",-13.9607880146216
"UQCRB",13.9539420687904
"IFITM1",-13.9320245465162
"NSG1",-13.9236389249236
"RPS21",13.7678517891958
"OAS1",-13.7320430355182
"PLSCR1",-13.628732112481
"GNG5",-13.5545180781451
"LGALS9",-13.5341070946578
"LAP3",-13.5339405295402
"RBCK1",-13.3183827389737
"TNFSF13B",-13.3041452584935
"NAP1L1",13.2769362503532
"HLA-C",-13.222709621488
"RPL39",13.1374497766211
"MYL6",-12.9979060861997
"RPS20",12.8640564323511
"UBE2L6",-12.8155139033067
"RPL23",12.7288759212203
"RPS4Y1",12.6853290433155
"IFI44L",-12.6848961719071
"RPL37",12.6131258760723
"TAGLN2",-12.5973316999676
"EEF1D",12.5420720758298
"DDX58",-12.4680857905513
"EPSTI1",-12.4250374633426
"NMI",-12.4069500450783
"TMEM50A",-12.352378412477
"STRIP2",-12.3418289660824
"ETS2",-12.2957313691246
"ATP6V1D",-12.1430616167856
"MT-ND1",-12.0874424490949
"RAC1",-11.9934433483094
"HLA-B",-11.9482163645941
"CDV3",-11.9140037791404
"UBA52",11.8633504812665
"OAS3",-11.854481354376
"SKIL",-11.7950051310921
"SPATS2L",-11.7814187613832
"PHF11",-11.7090499091929
"DPP4",11.5950614142353
"PLGRKT",-11.5052562494844
"RABAC1",-11.4892902375363
"C19orf66",-11.3053468497267
"CIB1",-11.286089519014
"PSME2",-11.233408249166
"RPS7",11.202499212886
"EIF3E",11.1883632685843
"RPL6",11.0754804704397
"CALM2",-11.0618640157258
"PTMS",-11.0584418188725
"RGCC",-11.0174410009829
"COX5A",-11.0121030145259
"BATF3",-11.0100363749859
"MALT1",-11.0037726064353
"SLC35F3",10.9644507811097
"TNFRSF25",-10.8997908727211
"TMEM173",-10.8670507541615
"PRDX1",-10.8505594678547
"PPP1R14B",-10.7280301325083
"JUNB",-10.7042023611247
"IFI27",-10.6874610666586
"DAPP1",-10.6730526612742
"IMPDH2",10.635088552589
"ZBED2",-10.594435438864
"MX2",-10.5847511684361
"CFLAR",-10.541831085887
"KIF2A",10.5330249200238
"ARID5A",-10.4841726708404
"EBI3",-10.4829720263647
"ATP6V0A2",-10.4758384340194
"RASGRP3",-10.4380528160895
"ADM",10.3691753109599
"FUT7",-10.3595028141814
"PARP12",-10.2040811168158
"IKZF3",-10.169295374746
"EIF3H",10.0674082190238
"MVP",-10.0636510708562
"APOBEC3G",-10.0515171228813
"FUS",-10.0448184144657
"UBB",-10.0257154962374
"TAP1",-10.022214068138
"SQRDL",-10.0140940008127
"RPS15",9.99574788469341
"RPL38",9.93343798075746
"SMAD3",9.90034565958616
"ANXA4",-9.73990531918332
"ETHE1",-9.70968589526041
"CLEC2B",9.68847538741587
"HSF4",9.55537579536078
"VAMP5",-9.3927895920302
"TSHZ2",-9.38976871209256
"NPM1",9.38796254329108
"DNAJA1",-9.3656795250821
"TRAT1",9.36451045527733
"CD48",9.28658361868499
"CAPN2",-9.28651936001054
"HSP90AA1",-9.24428365039225
"CMPK2",-9.20734962796773
"SLC1A4",-9.20130990854807
"CD151",-9.14687960216475
"HERC6",-9.12473105701523
"ADAM19",-9.12003101466358
"FAM177A1",-9.10554625545253
"PLIN2",-9.03657170150546
"NAGK",-9.01919198746699
"MT-ND6",-8.96756192169532
"EIF2AK2",-8.91485377022789
"RDX",-8.91290466996026
"MGST3",-8.88533104011227
"GLTSCR2",8.8668429890193
"PSMA7",-8.83441451795244
"HAGHL",-8.80644286983679
"MT2A",-8.79519554678358
"POMP",-8.77832922472177
"DDX60",-8.77330639503763
"CCL17",-8.74801791772857
"NDUFS5",-8.66726058724925
"P4HA1",8.63970264386633
"GZMA",8.61367410629825
"DNAJC2",-8.55927480622175
"LGALS3",-8.47554846580922
"GRN",-8.4523055243137
"SUB1",-8.42928013520604
"RP11-305L7.3",8.41947279907911
"EIF4B",8.36189053043094
"PLAC8",8.30422393871624
"KCNN4",-8.28178535640117
"TXNDC17",-8.27980678971822
"DYNLL1",-8.2408941224564
"LPIN2",-8.21308989643537
"FRMD4B",8.19830988228293
"SERPINB6",-8.19422905634243
"TSPO",-8.18279130758676
"GIPC1",-8.1588617854641
"IL32",8.12975720320313
"FHL3",-8.10750529092615
"KLHDC7B",-8.10211969499762
"SLAMF1",-8.09120435070479
"OASL",-8.06495582792522
"UQCRH",8.05567494957424
"LRP10",-8.01322852114711
"INTS7",-8.0119787262233
"ATP5E",-8.00346748780026
"RNF187",-7.98427519399557
"S100A10",-7.98226313794368
"RSAD2",-7.9664968472714
"NUP88",-7.94544843907517
"TUBA1A",-7.93511877694853
"TXN",-7.93510040837877
"CHMP5",-7.91999212711829
"GSDMD",-7.8653134909915
"EIF2S1",-7.81998916991039
"DDX60L",-7.81314123127288
"RBPJ",-7.80431070153203
"IFIH1",-7.77915252596957
"CCR7",-7.77559684849951
"USMG5",-7.76577525982541
"NT5C3A",-7.74167120152612
"PDIA6",-7.71411515745985
"SPINK2",-7.70039072155745
"LGALS3BP",-7.69658727655687
"MDK",-7.66909410046699
"TMBIM6",-7.64208905197838
"MED10",-7.6345905118
"TCEAL4",-7.59952891158727
"PSME1",-7.57277259222767
"TMSB10",7.56620726152158
"HLA-A",-7.55183991899726
"SYTL3",7.53666292204102
"ASXL1",-7.51852788842975
"APOBEC3C",-7.45741525360184
"BCAR3",-7.45223012690588
"C12orf57",-7.42451377224213
"RSL24D1",7.41627786984983
"HLA-E",-7.41543454671311
"NDUFB11",-7.41096134505898
"MAGED2",-7.38426159578029
"GCNT1",-7.34604097006487
"AAK1",-7.34573339050875
"TNFSF14",-7.31211869797697
"CTA-384D8.35",-7.28955523279238
"TMEM243",-7.27750423920697
"PDE4B",-7.27495531056391
"SRI",-7.26761942728903
"LGALS1",-7.26500626762983
"ARPC5",-7.26028744933348
"MCM4",-7.22390526880627
"SERPINB1",-7.21407025041787
"FSD1",-7.21357482668859
"F5",-7.19357458812614
"IL1R2",-7.18816471562375
"SAMD9L",-7.18339848096323
"PSMB3",-7.17921147298355
"MCM6",-7.15324037906275
"DNAJB6",-7.14174987764319
"SCML4",-7.14037299008928
"GLB1",-7.14033150361614
"COPRS",-7.13022059527745
"KDSR",-7.12778345460466
"IVNS1ABP",-7.12447994349675
"FAM173A",-7.12296313608208
"UNQ6494",7.11874288356434
"FKBP1A",-7.11378916317535
"CCNG1",7.10041278059875
"XAF1",-7.08574472895314
"KLF6",-7.0766255155146
"FAM46C",7.05491120538041
"NDUFB2",-7.04188375156794
"SYNGR2",-7.03758338738124
"PRDX2",6.99727594121398
"RTN4",-6.98808687861119
"CDKN2D",-6.96505963026947
"TRABD",-6.92750130491679
"ADAR",-6.91518758524531
"ACTA2",-6.90775024284771
"ATP6V0E1",-6.86790387117468
"UBC",-6.86331362306178
"ATP6V1H",-6.85883334104324
"RALA",-6.84994346733193
"ARL4C",6.82943281224894
"BATF",-6.82211666013756
"NEMF",-6.81692641420235
"SH3KBP1",-6.80085105778853
"TAPBP",-6.78496052877661
"EVL",6.7692560388457
"BHLHE40",6.76548121921973
"MZB1",6.75287223063006
"RP11-81H14.2",-6.73389401528982
"EZR",-6.72498415864332
"MRPL40",-6.72224406173411
"NRBP1",-6.72095761123726
"TGFB1",-6.70728311548223
"UBQLN2",-6.68077561548739
"DUSP4",-6.67730839422906
"BBX",-6.66893473675119
"ACSL4",-6.64091104693261
"SURF4",-6.62852104756983
"AKAP13",-6.58840370324762
"LTA",-6.58038236332776
"QSOX1",-6.54394181103303
"APOL2",-6.53982103610162
"GYPC",6.52076756953947
"MT-ND3",-6.51847517493435
"AGPAT2",-6.51628962192035
"CRIP1",-6.51568882236079
"SLC2A3",6.51039805738252
"IFI44",-6.50552288172209
"TXNIP",-6.49469842491091
"RAB27A",-6.49451681910196
"LMNA",-6.46116160103706
"TUBA1C",-6.45186575748792
"PPARG",-6.44843468403486
"ATP6V0B",-6.4419708503382
"NEK1",-6.4141337950298
"RUNX1",-6.41084435538003
"GNB2",-6.40927048086004
"SCAMP2",-6.39007547897587
"VPS29",-6.38894852727326
"PPIL1",-6.38440178098827
"FURIN",-6.37437705198083
"SEPT2",-6.37420957556745
"NDUFC2",-6.33637207403613
"XRN1",-6.32942093306786
"LUZP1",-6.32621463651249
"ABI1",-6.3160067450678
"PSTPIP1",-6.30334418815901
"YWHAB",-6.29485454088601
"PIK3IP1",-6.28656564756136
"NPDC1",-6.26788153414188
"MTX3",6.26780402932817
"GCH1",-6.26645037036471
"CLIC1",-6.26104138898072
"SRSF5",-6.25600181115391
