"","group_iTreg","group_Th17","group_Th2","group_Th0"
"DUSP4",1.18930479646003,-0.229456962689963,-1.40849430853331,-0.779493060380142
"BHLHE40",1.05134589167359,-0.500305741795489,-1.14990537548305,NA
"DHRS3",0.698716407823789,-0.578072393181039,-0.300537865690236,NA
"LDHA",0.529011705809052,-0.328188819416903,-0.230423605123855,-0.19654016302418
"DNAJC12",0.912680189673422,NA,-1.12334185332209,-0.78653187544842
"MT-CYB",-0.87376916462919,0.160597331029074,0.505517146113112,0.3898961474895
"MT-ATP6",-0.813829800110183,-0.118976853820453,0.658497910332937,0.527654157280441
"CTLA4",0.717691375819599,-0.441942607226895,-0.348459369583673,-0.27138736880889
"BATF3",-0.839187385522155,0.258278815034078,0.866136574991236,-0.548248856915235
"ANKRD37",0.656021463828662,NA,-0.741735939304101,-0.428204607270796
"GAPDH",0.427261519196938,NA,-0.594918820232129,NA
"SATB1",-0.723356563776127,-0.130520867250414,0.775566250385609,0.248465865896531
"GSTO1",0.565650295335038,NA,-0.579523229772259,-0.567910336197996
"VIM",0.719275365635774,0.113309663118876,-1.34434616934611,-0.322307371977685
"CYTIP",0.6435939893724,-0.174898262632594,-0.797511145489094,NA
"LAPTM5",0.529665078763431,-0.169054050366355,-0.502809720310219,-0.142545773137357
"IVNS1ABP",0.73239430504822,0.1032615640936,-1.0381073296768,-0.654156639863833
"MT-CO2",-0.632942448915513,0.265088820526278,0.24886835983656,0.246483661987741
"OXNAD1",0.51221652303266,-0.497441272084055,-0.449863550148509,0.370696400578105
"RNF213",-0.688512747298401,0.320488885289494,0.240213240412393,0.239909592013275
"RGS1",0.687193468060634,-0.372117505378319,-0.612946092728975,NA
"AC092580.4",-0.688047939826868,-0.711429288413762,1.13064241955519,0.439136902323919
"MT-CO3",-0.668940335891772,0.151667435231286,0.421530043917101,0.25036481847602
"CCL5",0.430058742496165,0.236048913032996,-1.13265610183894,NA
"PMEPA1",0.280302952503961,NA,-0.238243350024444,-0.223508284143186
"HILPDA",0.508035421474862,-0.488294097427018,0.241932794064355,-0.652906436416044
"RDX",0.674932618673373,NA,-0.814788697628469,-0.501624145716392
"FDX1",0.648119572539561,-0.301886118525692,-0.412885836166541,-0.28228713487971
"FOXP3",0.322255191685059,-0.137534556509714,-0.184465206972485,-0.153244012725903
"HOPX",-0.635899734593389,0.479053735501936,0.182286505349924,NA
"PGM2L1",0.534222771560474,-0.197506061889053,-0.256801232712322,-0.443177400692121
"GNPTAB",0.550080584322859,-0.397774032215725,-0.209859965658329,-0.145165632830883
"SAMSN1",0.628673696826593,-0.435415413431131,-0.539633896625317,0.150080037737865
"MT-ND3",-0.588538328042497,0.620207697789396,-0.190099150103262,NA
"EVI2A",0.508253862366337,-0.131167740945363,-0.400726664919741,-0.303694636432295
"MRPS26",-0.837174178727081,-0.391198747103829,1.49333134545648,-0.645278452564745
"UBE2B",0.482677708045583,-0.202212425185103,-0.316277479087584,-0.211541855707146
"MIF",0.403488530626251,0.273778210246904,-0.973430498102027,-0.254753672403806
"OCIAD2",0.473727401510487,0.190009102037,-0.700571100554285,-0.561791334097513
"ENO2",0.467394016668225,NA,-0.524285887633989,-0.26318770896519
"LAT",0.491165337349795,-0.256981528665307,-0.103198357747667,-0.450164658450378
"RALA",0.43056912240457,0.22765861946702,-0.73423610528989,-0.49296230583872
"RHOG",0.457311413260538,-0.110499810669606,-0.523461370351517,NA
"BTG1",0.465079649320411,0.37291611933328,-1.13599306623795,-0.489886233818514
"PPFIBP1",0.293709528483134,-0.324749980429979,-0.284710961557732,0.34591751296797
"APOBEC3H",0.492789144579623,0.194797485245506,-0.730989960984435,-0.587643263797035
"MT-ND5",-0.553558083152819,NA,0.549700651146999,0.186341227377656
"SLC2A3",0.471143470417819,-0.229370792379418,-0.49358912840564,NA
"WDR54",0.358676037812379,NA,-0.323082314892455,-0.229862401385973
"BNIP3L",0.445976133586923,-0.282184513464674,-0.333174783713631,NA
"NR3C1",0.506592549110019,-0.325864788360767,-0.225248128770035,-0.155457947657442
"PHTF2",0.355662951710544,-0.245174928773911,-0.157051235249103,NA
"WSB1",0.483333109845222,-0.272259205843834,-0.333821013334932,NA
"PPP1R2",0.427073886831235,-0.107627835573725,-0.285859381716609,-0.566566514531973
"BEND5",0.459285298744209,-0.214698473953467,-0.266191552639531,-0.201419095988362
"PNRC1",0.397255046188558,-0.307134825600357,-0.302810857870413,0.145798126102004
"HERC5",-0.552753220667477,0.520649541625474,-0.318699002991574,0.36716414384585
"LST1",0.423768871109707,-0.300636402762553,-0.435001206743491,0.231323732582967
"GEM",0.312401403419006,-0.125700279248647,-0.198019617227301,-0.135028664797903
"APOD",0.79740501794707,-0.291422681092031,-0.569899220717829,-0.48198381376514
"LINC00152",0.492451912042305,NA,-0.470432715757584,-0.290861452995764
"MAL",-0.539811778019879,-0.394187063456118,0.64844975016162,0.571887291905315
"RGS10",0.371126045163439,NA,-0.370437282505583,-0.272463212388409
"INPP5F",0.406611381517717,NA,-0.398835191151804,-0.311273257105925
"AIM2",-0.272632402634904,NA,0.359163874785459,NA
"NDFIP1",0.393783626571153,NA,-0.373785119324524,-0.351573785492606
"MT-CO1",-0.353157943741417,0.160265098210832,0.15503904988604,0.126909046247815
"TSC22D3",0.377478756137999,-0.20645979814933,-0.249440312196608,NA
"CACYBP",0.388099159321989,-0.165850385142027,-0.1946789886805,-0.234855928282161
"WDR45B",0.369652052059578,-0.133723664632182,-0.272593327020698,-0.144710770075431
"RPS6KA5",-0.250998923475924,NA,0.242552056259699,0.281685460134418
"ATP1B1",0.436940244921117,NA,-0.415197995369985,-0.335696745094626
"RSBN1",0.297569598715333,-0.177353846293579,NA,-0.215495512593825
"HNRNPAB",-0.446633442076727,NA,0.388064316739248,0.251075963298676
"RNF125",-0.572947656626959,-0.609014308210715,1.25757674656983,-0.123802100786971
"PIK3IP1",0.387351743377288,NA,-0.307295222474069,-0.313869520983834
"VDAC1",0.300994998169907,NA,-0.361857939769751,-0.203249016052047
"LMCD1",0.271053955350498,NA,-0.182998624223575,-0.167377227119724
"ARPC1B",-0.42010070613792,-0.152282592932968,0.484143380512708,0.290882409958881
"FXYD5",0.319470132333174,NA,-0.563368419778934,NA
"SELL",0.486882258895197,NA,-0.727630014629482,-0.165948601032501
"PARP1",-0.407323463605738,NA,0.374989705096041,0.2176567777206
"LGALS1",0.477714902898519,0.143339684852139,-0.683956099354021,-0.473944162285564
"ZFP36L2",0.487458492683568,-0.410256241130327,-0.255647803557344,NA
"CFLAR",0.395872417361121,0.294575715429767,-0.762443476560528,-0.535959723358251
"CD44",0.431754687599618,0.129724293096801,-0.665586991147153,-0.342617475704456
