"","group_Th17","group_Th0","group_iTreg","group_Th2"
"IL9",1.61865524362091,-4.67560771239437,0.716686938467715,-4.43187947934381
"TYMP",0.67565433603045,-1.04079186249641,0.540672464495001,-1.20197696957317
"S100A6",0.629431237257471,-0.677538828285735,0.255792491225116,-0.78512339448753
"S100A11",0.503080728993451,-0.97107551701634,0.62737638772093,-1.05670168154041
"ETS2",0.925976831878854,-0.839757806359683,NA,-0.750867045749221
"DHRS2",0.514105681112439,-0.46959760623274,0.113886036692929,-0.477038505721482
"FLOT1",0.42863025811231,-0.486213869314975,0.299913072051392,-0.711261038372867
"RPS6",-0.348749268384001,0.54351473118937,-0.515139470815742,0.428318720446404
"CALM1",0.37409514627321,-0.510519046318687,0.223347689447968,-0.352858207688038
"JUN",0.556041097347121,-0.752046374982536,0.387286832900797,-0.829288814830596
"VIM",0.608693501361014,-0.842479889421191,0.458293133076909,-1.05240562824547
"RPS27A",-0.272785728590215,0.468123897103368,-0.464240368526535,0.384150385334875
"PLP2",0.38710946602581,-0.608015913867005,0.492791192568873,-0.939043698934406
"RPS29",-0.241346302996392,0.265866684711771,-0.199554069306423,0.271551816817507
"OCIAD2",0.381369943794278,-0.629136766025887,0.388566416006825,-0.583285606516271
"ISG15",0.555202906498024,-1.17242540177701,0.798417520091348,-1.55128543601369
"RPL4",-0.352080740570119,0.493948597110812,-0.496157461358507,0.47985241335331
"EIF4B",-0.422416293224561,0.31572344195843,-0.327034367444213,0.586505187934303
"RPL7",-0.354598073258673,0.618591137332928,-0.585924730886882,0.412152682760182
"RPL5",-0.36976468810427,0.429218648588463,-0.409403380601723,0.481379967346625
"S100A2",0.18380798434054,-0.108062947014477,NA,-0.100659637779886
"RPS24",-0.32722360652547,0.341527184653691,-0.320855351245921,0.439450454908198
"RPS17",-0.296378599338008,0.37814869522891,-0.350081029169412,0.390968455248911
"TIMP1",0.780858442309341,-1.36228241565377,0.56698745895135,-1.1238769578031
"RGCC",0.626881708556019,-0.704016765482595,0.389884022013112,-1.15629353391955
"AC090498.1",-0.321852963254564,NA,0.267124552400323,NA
"RPL15",-0.219012925831715,0.351245614140288,-0.305417252730839,0.27182453995255
"ZNRF1",0.291780219821241,-0.171159183983604,NA,-0.165444486598018
"RPL3",-0.294482360443538,0.539247437763388,-0.528299386507087,0.387766699069944
"RPS27",-0.232787399940405,0.265073639093354,-0.213035421601186,0.281762940666317
"AC092580.4",-0.605414884832469,0.628032726116907,-0.756286478742743,0.83866127333576
"ISG20",0.427329840742253,-0.782627271249039,0.576449574610706,-0.994213741507614
"CTSL",0.696934298444821,-0.97330830137285,0.394008989098735,-0.888707308381059
"TAGLN2",0.3556015511329,-0.41962274015667,0.289579885497163,-0.621725863018195
"RPS28",-0.215085498735684,0.31103596362918,-0.277322778331212,0.285835419420948
"ZBED2",0.54648515753304,-0.51717764448931,0.365631255260522,-1.2142676776422
"RPS8",-0.261692427193505,0.460690922980273,-0.502514261331074,0.430973044391313
"RPS7",-0.236305468136349,0.24282421890436,-0.173189865294292,0.259193902025153
"CXCR4",0.486458804096288,-0.53547139439402,0.325464243254064,-0.848454793655055
"GSTO1",0.420772213943906,-0.679327976303642,0.40582083003006,-0.64371734821031
"SLC25A6",-0.328536831088411,0.399235905915188,-0.426598241057935,0.498575091487115
"IL1R1",0.21363054056871,-0.140705767546723,NA,-0.125198380170254
"TXN",0.42037702706055,-0.446859811812264,0.145504060201716,-0.375430431853867
"TMEM173",0.485614460419199,-0.628339971299394,0.439917123842464,-1.02243387666474
"CST7",-0.431486518643216,0.475542341657075,-0.293534265548825,0.328669828179367
"RPS3A",-0.293406914310297,0.577320947439104,-0.615082918025991,0.438251950097658
"RPL10A",-0.221225027584905,0.351060569585847,-0.335856416893619,0.318320326263285
"RABAC1",0.33714534733568,-0.469392511745227,0.315034842765257,-0.555742894063726
"RPL27A",-0.207165303236667,0.347043590948171,-0.348444209125831,0.324008134992969
"ETHE1",0.334757095881391,-0.374686236542803,0.169743540506766,-0.361510940548766
"CFLAR",0.331204120791639,-0.529436422130726,0.491537670817525,-0.932226256811953
"RPS4X",-0.23522472788471,0.476066315082364,-0.43017337165033,0.279588340590196
"RPL23",-0.283185559413713,0.335499008919836,-0.288568754189083,0.351546167438627
"RPSA",-0.286190770899531,0.493009884946388,-0.495157313732492,0.40378264628695
"APOBEC3G",0.350658723024235,-0.551467898138322,0.467218104385886,-0.866085002793605
"EBI3",0.250850481537855,-0.296470793263043,0.198495261816114,-0.378882041692187
"IKZF3",0.382410718056512,-0.374142159371508,NA,NA
"RPL6",-0.269897078956359,0.287450416505926,-0.296741635722896,0.414616100806802
"RPL13A",-0.2450214930732,0.475727712910366,-0.539388525827116,0.435894583594867
"HIST1H4C",-1.01386705594123,0.300983050262025,-0.314469615179878,1.08532074848773
"FUT7",0.268987563036804,-0.351224530233946,0.238433192142458,-0.417269444818236
"IRF7",0.28739744225797,-0.497528487175486,0.455840791403434,-0.766167975090292
"RP11-305L7.1",-0.146523530486037,0.223986651960655,-0.134007061377461,0.103653437830812
"BATF3",0.658372272229755,-0.697763934683602,NA,-0.130579861409153
"TMSB4X",0.31126707607639,-0.485153767013014,0.285106493790964,-0.399497191067946
"RPLP0",-0.277131336432912,0.538477146717655,-0.553664923391418,0.400408056602908
"MYL12B",0.257790826230424,-0.511053931199307,0.420268027316888,-0.571390849641878
"RPL37A",-0.214785880297205,0.263031183929028,-0.301757507478594,0.388598311212824
"STRIP2",0.251942541167743,-0.392683532202908,0.296501158054368,-0.448599999088375
"IL1R2",0.254459083155243,-0.256200576565808,0.110567632439114,-0.260649402515454
"PLAC8",-0.372740059207823,0.405363005290135,-0.166410554914525,0.176088983047374
"ARID5A",0.30971267306425,-0.481116627193,0.360359600862,-0.587809167634108
"CLIC3",0.280140339934408,NA,NA,NA
"RPS3",-0.24633639495685,0.504119378866829,-0.530232965799969,0.384428229070117
"IFI6",0.420253150615264,-1.20223483247538,0.905270665176221,-1.42024916241255
"RPL22",-0.205575194529212,0.40922834763031,-0.423070456106977,0.333160958534775
"H3F3B",0.239590497441975,-0.3466712070674,0.282830210867917,-0.466951924956968
"SLC35F3",-0.131157346150112,0.161446271129088,NA,NA
"NAP1L1",-0.256465534564281,0.310832318903931,-0.286242340180582,0.350955347740364
"TSHZ2",0.399626472026689,-0.476380360358281,0.257776943364774,-0.546000767376654
"PITPNC1",0.173474543955786,-0.107651981159712,NA,NA
"RPL36",-0.173923582558615,0.255303023686013,-0.148076698370287,0.116614493406352
"MYL12A",0.279272994143825,-0.478690787347,0.371895726830132,-0.550920697397354
"EIF3L",-0.303757712790769,0.462748362788439,-0.404378469384368,0.349780589321211
"AHCYL2",0.225230974875938,-0.395596667838403,0.288784350942164,-0.369649140235057
"RCAN2",0.287350198729457,NA,-0.127141253890114,-0.149738588729247
"MIAT",0.324658227070068,-0.231236121950643,NA,-0.217011427914258
"LAT",0.331390838404978,-0.544045378873117,0.378142860677736,-0.577806090860457
"EEF1B2",-0.297988212847958,0.500772771948347,-0.642588941838842,0.583974390699701
"RPS23",-0.225995246075359,0.420336130590697,-0.467220284562531,0.400881764807917
"PTGER2",-0.206673290890017,0.129133443895911,-0.198221562458575,0.41616506328253
"APOBEC3H",0.32701248851137,-0.826890131313358,0.686593977907159,-0.980977168623801
"ABTB1",0.167594059159624,NA,NA,-0.106664868442779
"ATP6V1D",0.417624743050886,-0.522537748460033,0.261991261321229,-0.521595801361827
"NPM1",-0.256978254897264,0.279633655959712,NA,NA
"RPS13",-0.191944750013456,0.399459035132951,-0.425795263632575,0.334033844399941
"PRDX5",0.199879873871431,-0.174986795549808,NA,-0.229424042239818
"RPL8",-0.17938470074334,0.381536779761891,-0.34673610730122,0.233675087835621
"NSG1",0.390956974024469,-0.508216546405835,0.258528901951726,-0.475095222916918
"CCNA1",0.17048499805087,NA,NA,NA
"UPP1",0.288112038822117,-0.151699838156622,NA,-0.467922150261008
"CD200",0.324285819942535,-0.237666486225799,NA,-0.34404631663396
"EEF2",-0.264636846955834,0.479177462889532,-0.422446005084287,0.301434285436903
"RPS16",-0.187290191808097,0.408080497999456,-0.437339476830269,0.330990311746555
"LGALS3",0.285561360628327,-0.556727860911025,0.538950671239681,-0.898997021515513
"TRAT1",-0.231316340202239,0.279256344499224,-0.196475744864678,0.23409457934223
"KIF2A",-0.362252412523621,0.517863319462396,-0.411331259359347,0.34653311294807
"RPL18A",-0.179974707984409,0.424247823491503,-0.38307182755587,0.220899043627674
"RPL37",-0.168664430124625,0.233496387804021,-0.254099077741599,0.304723519734524
"TNFRSF12A",0.170705735500272,-0.224904194742694,0.160216141924763,-0.253527694977716
"PKIG",0.145363402335415,NA,NA,NA
"FAM177A1",0.231373177515004,-0.308925964605076,0.18872081524465,-0.297502037064164
"RPL32",-0.174746763394963,0.38814647696026,-0.335149001223235,0.200152549074488
"RPS18",-0.220375384909999,0.449918511999025,-0.434568942697416,0.306660125483355
"AQP3",0.261675313562642,-0.498907496368561,0.330100870757427,-0.378119126243521
"LRP10",0.228443116690687,-0.262110242648837,0.123715872784323,-0.228427278055894
"S100A10",0.296189836325806,-0.379596057182961,0.285166937305208,-0.541638795371077
"RPS9",-0.155815970088839,0.307294957055233,-0.283922065350833,0.222895342521078
"MIF",-0.288639169916978,0.136942025597287,0.235781050924166,-0.222539417156717
"RALA",0.252906813330349,-0.292824576693182,0.188657372535069,-0.367036759948599
"HMGN2",-0.357495136095277,0.180677509920835,NA,0.239603442739863
"SPINT1",0.122316710023626,NA,NA,NA
"RPL21",-0.208041148672068,0.451859207508982,-0.462996589655607,0.326626337531757
"SLC25A5",-0.369509646368531,0.31487098767601,-0.295799696096046,0.490512688978204
"PERP",0.234206253730338,NA,NA,-0.39572054506953
"RPL11",-0.165141134162113,0.35204603807848,-0.325786061674401,0.229227389228472
"HNRNPA3",-0.283706453527194,NA,NA,0.211197245813789
"RPS4Y1",-0.276391872965036,0.396637291794783,-0.343576913296891,0.330912840611796
"BATF",0.375574825235749,-0.378003709998781,NA,-0.178186590017183
"RNF157",-0.10713892155042,NA,NA,0.21751306084332
"PPP1R14B",0.263734415558688,-0.373205102720146,0.185090601006398,-0.253395801239718
"NCAPD2",-0.196958022475048,NA,NA,0.23610505128727
"RPS2",-0.243111583764189,0.523155583717529,-0.548279053947256,0.37523632281605
"UNQ6494",-0.192281212599722,0.141908579575103,NA,0.175978099583938
"RPS12",-0.187678560507623,0.405375752699438,-0.473935863958159,0.384063870297702
"IL21-AS1",0.117643674473791,NA,NA,NA
"PHF11",0.258018695514342,-0.408577732533242,0.238698884069481,-0.303515188902706
"RBCK1",0.213207831182638,-0.363642944410466,0.218965337197847,-0.241958635138099
"SPATS2L",0.259863385490023,-0.402290836852598,0.181253599275318,-0.19480553606065
"JHDM1D-AS1",0.225555386438687,NA,-0.138837934239317,NA
"SERBP1",-0.241589076166553,NA,NA,0.201769827130895
"SLAMF1",0.334633575601049,-0.417470923149569,0.293538223030579,-0.585495546986237
"HIST1H2AH",-0.145982104457095,NA,NA,0.19831920827793
"MT-ND1",0.22356544960869,-0.354832899153806,NA,NA
"DYNLRB1",0.230291870695621,-0.205802030971306,0.112741694788058,-0.299681330838323
"PPIL1",0.192246882171464,-0.205008754995048,NA,-0.14623453506518
"RPS20",-0.159296139833446,0.238167790324259,-0.285609778989357,0.331107058204085
"PLIN2",0.232296963446196,-0.424741545396583,0.397097219622206,-0.602004226353777
"RP11-305L7.3",-0.119725977380218,0.155127128547733,-0.142972533722987,0.184760771343581
"PLAUR",0.133169159449238,-0.224739321129274,0.209704477061028,-0.287752892030529
"GNG5",0.207295408059768,-0.368672801004315,0.300239442900132,-0.402747865943731
"RPL35",-0.142591898535097,0.308115424603502,-0.273831459121464,0.188385662344527
"IMPDH2",-0.241351549123199,0.345170712298906,-0.257682224236457,0.239908358070498
"CD63",0.294136463525178,-0.234793138427378,0.164969875113041,-0.501814474160982
"TMPO",-0.290824702845531,NA,NA,0.341046496386595
"HELZ2",0.242650466138898,-0.204270942379434,NA,-0.224874817963181
"IER3",0.258480673571742,-0.462231615594953,0.411076451599688,-0.633888296731146
"MAGED2",0.260590283712212,-0.32285334799815,0.241153232441628,-0.453700395010386
"NPDC1",0.184499483409326,-0.200308818328376,0.10138487396023,-0.197343367940443
"CD151",0.179727381273077,-0.264041751302586,0.149679669951477,-0.187276738125153
"GZMB",1.07354526673127,-0.170675202839571,-0.558278586981955,-0.986047098060275
"LGALS1",0.429357401275007,-0.568627645277454,0.389456346508349,-0.815364895179573
"AHCY",-0.1907201151097,0.178560245898682,0.288784350942164,-0.369649140235057
"MKI67",-0.410126685416188,0.140475118234321,NA,0.462773522571355
"METTL9",-0.217341129911211,0.155953501979054,NA,0.196750251117998
"CD2",0.215381208597119,-0.288549911200038,0.325386977551669,-0.625101318080491
"TIMM17B",0.217501391441573,-0.154986939691757,NA,-0.204907370975778
"CD7",0.421518832074227,NA,-0.212919312087662,-0.406512077126989
"RPL13",-0.151118604004257,0.405963605226812,-0.442156589885024,0.293956906340721
"RPL19",-0.134500459202868,0.365287760127876,-0.398376293571501,0.272388026407332
"RPL12",-0.190447259765172,0.439710000033302,-0.418042057750542,0.260647025412704
"RPS5",-0.178132905385503,0.410525509778485,-0.394047451088011,0.255441804515064
"RPL26",-0.109221748878389,0.37368423808239,-0.457672795525015,0.308218149733039
"RPLP1",-0.119641310297941,0.343960094020487,-0.352448264974581,0.218833553089458
"RPS14",-0.132158570101759,0.32774306385,-0.311115878714967,0.199899521122143
"RPL9",-0.105602230837413,0.389904305671744,-0.460034564354813,0.282360332677362
"RPS11",-0.133032258354447,0.345494495158905,-0.408584114123836,0.314073914854898
"RPS25",-0.127010845317268,0.33897250517374,-0.360159198993722,0.247650597998321
"RPL35A",-0.151937410978595,0.342416878822646,-0.355450649415854,0.269091980841432
"RPL23A",-0.109963288717727,0.292604974676864,-0.336917617382372,0.260563543930426
"RPL7A",-0.194839285883742,0.390061537561807,-0.485108280516384,0.429173976908823
"LY6E",0.241759961836082,-0.721866940046261,0.641259325161992,-0.789028516888529
"RPL24",-0.116365506912937,0.283927655213017,-0.312312283832552,0.246422090789816
"RPL18",-0.105086047412465,0.287342769138888,-0.342049704502783,0.269139696136354
"MX1",0.266381419866953,-0.740364168834831,0.673014366838907,-0.921930451553207
"RPL10",-0.101562759875174,0.350041342050905,-0.337203710921137,0.161499748139006
"IFIT3",NA,-0.885351162306981,1.00754420398774,-1.29168653352504
"RPL29",-0.121893026462311,0.326156872016291,-0.37097671265918,0.275430148945546
"PSMB9",0.153907220645619,-0.500250388056014,0.432767869360004,-0.394847480161047
"USP18",0.121085411551791,-0.636185821796321,0.710259810834361,-0.843672621590011
"RPL34",-0.166560658007492,0.325745879835917,-0.311056196379706,0.24947199949217
"EEF1A1",-0.176345323441061,0.387546931838152,-0.405789215891131,0.304324912141634
"RPS19",-0.13133666995433,0.281424589290412,-0.234427405358931,0.153307744736112
"VOPP1",0.209670583046974,-0.415426664227306,0.261513372135136,-0.247973491128079
"FTL",NA,0.563002778544202,-0.530245385659486,NA
"TNFAIP8",0.178415808730704,-0.60070877031799,0.585644222305449,-0.679677191871316
"RPLP2",-0.1195565411037,0.256056258727472,-0.302827918298631,0.277978182854163
"RPL27",-0.125762298625563,0.275197823458231,-0.327984734506318,0.294450215308398
"RPL30",-0.108718280511903,0.260617195910997,-0.290951972339006,0.239303313056422
"DRAP1",0.19453192958544,-0.465613771370769,0.41738523564374,-0.498544774260952
"IFI35",0.204934295991904,-0.557054178073188,0.520514512887533,-0.637161178395914
"SLC4A7",0.294190864326325,-0.628677437736414,0.414259479023827,-0.449506299061796
"CAPG",0.218493726437662,-0.751698686517773,0.636830832687101,-0.667886626557073
"REEP5",0.243591584339406,-0.423783048283286,0.311595309268077,-0.415503590393242
"RPL14",-0.120392042046639,0.262708330011379,-0.311543141930325,0.281967417726462
"DIXDC1",0.142406400687746,-0.408689313989859,0.355373160613133,-0.334539158514031
"DDX5",0.104721834969394,-0.440120160136988,0.283013525780461,NA
"ATP5G2",-0.124698585464256,0.339689651908689,-0.27350249007793,0.112913280378562
"RPS15A",-0.11684289142893,0.26425011555396,-0.333431904247982,0.306224678500559
"GNB2L1",NA,0.303983249766163,-0.28545986962214,NA
"FNBP1L",0.158733632624982,-0.294793042725198,0.211544695266165,-0.228644785433678
"IFIT1",0.199272201854175,-0.711961937287915,0.721619358241689,-0.947260835749168
"NACA",NA,0.233766297833967,-0.227970084257275,0.129404369773921
"BST2",0.19712664791847,-0.52212423012302,0.402797270856654,-0.378782465467153
"BTF3",-0.124623848777993,0.235493465364199,-0.184880087986493,0.136792703559772
"PARP9",0.19596816600404,-0.477683674424115,0.353106173608592,-0.329422308986174
"EGLN3",NA,0.240164190368679,NA,NA
"RPL31",NA,0.262701413973755,-0.250745856026949,0.14062783590909
"UQCRB",-0.164458155566479,0.299717823781224,-0.255211098461605,0.203002353080131
"IFITM1",NA,-0.551262563775385,0.73113708550741,-0.617723264176845
"RPS21",-0.123972872942033,0.25051869578663,-0.389873251098074,0.411888916541193
"OAS1",0.244448577845948,-0.580096391142789,0.567357130228411,-0.829999356777472
"PLSCR1",NA,-0.520833244254759,0.605798826372431,-0.647976656022558
"LGALS9",0.241751480899099,-0.508380935115345,0.436161176384675,-0.580494733733758
"LAP3",NA,-0.477438628365279,0.581089582385799,-0.509579472839571
"TNFSF13B",NA,-0.523841446977038,0.513417996545556,-0.381278033990197
"HLA-C",0.216955910104926,-0.447937412700526,0.40274924869693,-0.540959119775595
"RPL39",-0.139390917904696,0.236553667559592,-0.194349605635291,0.170942975740831
"MYL6",0.226613878853605,-0.427033962429114,0.272873236861242,-0.288003480040627
"UBE2L6",0.118834849765057,-0.438467222664678,0.470430174121377,-0.514144721651615
"IFI44L",0.252843577467501,-0.534142176741599,0.487870250429874,-0.702652372272818
"EEF1D",-0.162597472463344,0.299586129327969,-0.20058060054239,0.115420978243107
"DDX58",0.139370834859087,-0.46088647021485,0.436989887364721,-0.437335360637382
"EPSTI1",0.148827723852146,-0.489400816564646,0.481118319668381,-0.52061727711781
"NMI",NA,-0.409506924152468,0.400263489128915,-0.352452479797867
"TMEM50A",0.13941685298588,-0.373573923949989,0.362539597390559,-0.401281043663047
"RAC1",0.157962696096162,-0.314185552927661,0.216196516615417,-0.207246725316306
"HLA-B",0.183295717021212,-0.423401163323348,0.397612306751645,-0.495507310836498
"CDV3",0.265031877061636,-0.399670245385647,NA,NA
"UBA52",NA,0.226589334678508,-0.225741262579762,0.136498157510236
"OAS3",0.111812431777394,-0.367103777738643,0.325596083557485,-0.273582435890029
"SKIL",0.190301407229411,-0.3626391448094,0.268451355858395,-0.305993361193954
"DPP4",NA,0.249427679418021,-0.243296950667911,0.159617951436048
"PLGRKT",0.206339517211387,-0.402633523518944,0.260060875237586,-0.257581418892353
"C19orf66",0.253841394816583,-0.364251378996659,0.288040379766719,-0.4804593849469
"CIB1",0.186238418297249,-0.312953693463002,0.242448714791772,-0.319392226688098
"PSME2",NA,-0.408577628657633,0.360206277992706,NA
"EIF3E",-0.180099226642783,0.335597373740861,-0.285050707894019,0.214223291673115
"CALM2",NA,-0.393609832915176,0.387713400375695,-0.333166815290828
"PTMS",0.250255766227792,-0.518576667897994,0.412013426823106,-0.520477592577093
"COX5A",0.122050767231132,-0.355509414781862,0.287210597388379,-0.227554990549522
"MALT1",0.240490212255029,-0.493605319594584,0.372912443352953,-0.442909761378227
"TNFRSF25",0.152960631273001,-0.362056251028048,0.259407826474374,-0.216194000863646
"PRDX1",0.156296578272249,-0.633093940756032,0.551077578380906,-0.484508137394636
"JUNB",0.202040473800986,-0.506810818623626,0.564586554047632,-0.851475727497557
"IFI27",NA,-1.66961621328338,1.50912645468708,-1.79821224167809
"DAPP1",0.1723472154704,-0.385792487589255,0.317437510246568,-0.343636173630406
"MX2",0.233940104261792,-0.472211919037366,0.402852136467539,-0.538008075840084
"ATP6V0A2",0.177417335410796,-0.322413401485357,0.158702241116593,-0.11441898083339
"RASGRP3",0.137962498517194,-0.249177680107758,0.183576930821653,-0.202710368116094
"ADM",NA,0.384497562952629,NA,NA
"PARP12",0.105745790050344,-0.292708652990969,0.26458039270385,-0.245425329328132
"EIF3H",NA,0.266376901934736,-0.285644775278928,0.170376084531564
