"feature","score"
"IL9",-34.5123867146762
"ISG15",-31.6251373783389
"S100A11",-29.202144841563
"TYMP",-27.2996040181433
"IFI6",-27.1604718780411
"PLP2",-25.4164775614527
"RPL13A",25.3631485636854
"RNF125",25.3555838943955
"EEF1B2",24.546667219967
"RPS21",23.8929343377321
"RPS27A",22.7443562736901
"RPS8",22.1372273676723
"RPS6",21.6724360846808
"CFLAR",-21.5079738985269
"RPS23",21.4432497549321
"RPL4",21.110322041573
"MYL12B",-21.0625106768123
"FLOT1",-21.0322768221054
"PTGER2",20.8938915571811
"RPS20",20.7209410733496
"ZBED2",-20.2089746189719
"RPL7A",20.1646121952457
"IRF7",-20.0461514243015
"RPS3A",19.8699656406946
"RPS12",19.4114275475088
"USP18",-19.2285646848764
"APOBEC3G",-19.2111017518168
"TMEM173",-19.1904520663464
"LY6E",-19.1786009598742
"APOBEC3H",-19.1484315040367
"MX1",-19.1461985383591
"RPL37A",18.9558809774562
"VIM",-18.7660968714642
"RPS13",18.5352857540832
"RPL7",18.3823175567278
"RPS16",18.3627844595645
"RPS3",18.2549340369731
"JUNB",-18.1956624608702
"RPL27A",18.0444416006798
"RPSA",17.9634904205505
"IFIT3",-17.8552641956864
"RPLP0",17.6702581595348
"ISG20",-17.6630414154834
"OAS1",-17.6414055811999
"TNFAIP8",-17.2704442908076
"RGCC",-17.2150202620349
"RPL5",17.17011946171
"RPS24",17.1371164875489
"CLIC1",-17.1276935133146
"DDIT4",-17.0883914733442
"RPL3",16.9421256562635
"SLC25A6",16.9023829337841
"RNF157",16.7825760227507
"IFIT1",-16.7483103313768
"RPS17",16.5387925739438
"TAGLN2",-16.3709470739464
"EIF4B",16.2414160836312
"RBM47",16.2059268313986
"RPL26",15.7972976468152
"RPS15A",15.6327643802117
"RPL10A",15.6125405852319
"RPL22",15.5239392934265
"CD2",-15.4473555989117
"RPL37",15.3425024523
"RPL15",15.3052345917639
"IFI44L",-15.143627171519
"MYL12A",-15.1146203207687
"RPLP2",14.9400517818422
"RPL6",14.9230362173224
"AC092580.4",14.5963231405975
"RPL19",14.5880671346831
"OASL",-14.512295490057
"RPS2",14.4161145922004
"HIST1H1D",14.3750178159959
"MT-ATP6",14.2323522621328
"UBC",-14.1879373787209
"RPS29",14.1393229230554
"RPS11",14.1126484349384
"HLA-C",-14.0844016160708
"OCIAD2",-14.0247609678142
"LIMA1",13.9985119723502
"CHMP5",-13.981774034642
"RPL13",13.9727657850297
"RPL23A",13.8933050518345
"IFI35",-13.8286585974613
"RPL21",13.6956707186729
"PLSCR1",-13.5917733498297
"RPS28",13.5856304909494
"LGALS3",-13.5058576851585
"DRAP1",-13.4928169628361
"RPL18",13.4770875139068
"IKZF1",13.2268572588553
"RABAC1",-13.2245624807404
"DUSP4",-13.1647601639514
"RPL14",13.144370241761
"RPS4X",13.0074671650135
"HLA-B",-12.9359769744593
"H3F3B",-12.8687573111588
"PGAM1",-12.7530770083028
"S100A6",-12.7459887925154
"CXCR4",-12.4294601243367
"GSTO1",-12.2101564697869
"RRS1",12.1775499780934
"SQRDL",-12.1208332153179
"CD70",-12.0661285082829
"GPSM3",-12.0149795795447
"RPL29",11.947545472144
"RPL24",11.9406934257563
"KLF3",11.8179287567762
"GRN",-11.7635024379226
"RPL27",11.7011740771309
"RGS9",11.6884690600279
"RPS27",11.6653646512054
"C19orf66",-11.6617630651735
"CCL5",-11.6533154114609
"SLC25A5",11.5251281877156
"NAP1L1",11.4814194223177
"RPS18",11.4421167220631
"UBE2L6",-11.3336255620552
"IFITM1",-11.2682450277496
"SLC39A8",11.2359417006951
"RPL35A",11.1992959769176
"RPL9",11.177999249592
"NAPA",-11.1281804660523
"LGALS9",-11.0727893046165
"SUB1",-11.0252786176236
"LAT",-10.9996931593904
