"feature","score"
"RPL13A",-49.6390089100504
"RPS3",-44.4842301780198
"RPS27A",-44.1039002208174
"RPL26",-43.646424375019
"IFI6",43.5923050147768
"RPS3A",-42.5570887080075
"RPL13",-41.4388483137098
"RPL7",-40.5493855147774
"RPLP0",-39.316949788987
"RPS8",-38.8539921938865
"RPL19",-38.6922809515409
"RPS16",-38.6729250460745
"RPS2",-37.5238652322991
"RPS13",-37.3073035381461
"RPS23",-37.2555539020376
"IFIT3",37.2538573356494
"USP18",37.241525226456
"RPS6",-37.0077961374623
"RPL3",-36.9934403992498
"RPL9",-36.7166647210069
"RPS12",-36.1333900354352
"RPL7A",-35.314831604713
"LY6E",34.7032285589922
"RPS10",-34.5971958975094
"IFITM1",34.2462372553331
"RPS11",-33.9931933603939
"ISG15",33.5136871827973
"RPSA",-33.4144319576829
"EEF1B2",-33.2609649571285
"RPS4X",-32.9427558718643
"RPL21",-32.6573434442883
"RPL18",-32.5790003878703
"RPL18A",-31.870349749252
"RPL23A",-31.8655110596649
"RPL22",-30.9642281671484
"IFI27",30.6799089497838
"RPS18",-30.6141527203402
"MX1",30.6110365340525
"S100A11",30.225467671421
"RPL27A",-29.6809880339125
"RPL29",-29.2937539660285
"RPS25",-29.2248360448592
"MYL12B",29.1987963444454
"RPL12",-28.9603594802723
"RPS21",-28.8337541020946
"RPL11",-28.6758936418754
"RPLP1",-28.6730273718491
"RPL8",-28.0783463600736
"RPL4",-28.0766450195325
"RPS5",-27.9950422428502
"IL9",27.9648612470555
"RPL32",-27.5113335443306
"RPS14",-26.7124810094844
"RPL24",-26.6384451528187
"LAP3",26.5660007156612
"TNFAIP8",25.5918736299034
"RPL35A",-25.359756266887
"IFI35",25.3288468350396
"RPL15",-25.1587838933296
"PLSCR1",24.8460482983529
"RPLP2",-24.7183445660911
"RPS9",-23.9261374884848
"RPL14",-23.8269282961085
"APOBEC3H",23.5289914126783
"IFIT1",23.2114179037238
"PSMB9",23.1584573917293
"OAS1",23.1151860199755
"RPL10A",-22.8775544427003
"RPL27",-22.8356811660925
"RPL10",-22.7744733114647
"RPS15A",-22.3529113479198
