"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","group","feature"
5.84987399651856e-50,1.18930479646003,0.933,0.652,7.55452727910407e-46,"iTreg","DUSP4"
4.65638633743227e-45,1.05134589167359,0.974,0.771,6.01325731616004e-41,"iTreg","BHLHE40"
4.01820061066083e-37,0.698716407823789,0.739,0.394,5.18910426860739e-33,"iTreg","DHRS3"
1.04154334368869e-34,0.529011705809052,1,0.995,1.34504907403958e-30,"iTreg","LDHA"
1.65040834619393e-32,0.912680189673422,0.716,0.377,2.13133733827484e-28,"iTreg","DNAJC12"
1.72207699802239e-30,-0.87376916462919,0.968,0.986,2.22389023524612e-26,"iTreg","MT-CYB"
2.10387579531102e-29,-0.813829800110183,0.983,0.994,2.71694520206465e-25,"iTreg","MT-ATP6"
8.45851912331885e-29,0.717691375819599,0.684,0.383,1.0923331595854e-24,"iTreg","CTLA4"
1.54407210499964e-28,-0.839187385522155,0.081,0.408,1.99401471639654e-24,"iTreg","BATF3"
1.6054244423407e-28,0.656021463828662,0.858,0.612,2.07324512483878e-24,"iTreg","ANKRD37"
2.81399394666336e-28,0.427261519196938,1,1,3.63399178272106e-24,"iTreg","GAPDH"
2.74609033034775e-27,-0.723356563776127,0.435,0.74,3.54630105261109e-23,"iTreg","SATB1"
4.41732548362642e-27,0.565650295335038,0.988,0.965,5.70453412955516e-23,"iTreg","GSTO1"
7.08895319821226e-27,0.719275365635774,0.997,0.956,9.15467416017132e-23,"iTreg","VIM"
9.93879119687574e-27,0.6435939893724,0.994,0.963,1.28349549516453e-22,"iTreg","CYTIP"
1.6620091483573e-26,0.529665078763431,0.98,0.928,2.14631861418861e-22,"iTreg","LAPTM5"
4.02089317785478e-26,0.73239430504822,0.872,0.684,5.19258144988166e-22,"iTreg","IVNS1ABP"
1.31486535125515e-25,-0.632942448915513,1,0.995,1.69801711461091e-21,"iTreg","MT-CO2"
8.8357181648059e-25,0.51221652303266,0.699,0.414,1.14104464380303e-20,"iTreg","OXNAD1"
1.26166694168377e-23,-0.688512747298401,0.681,0.858,1.62931668849042e-19,"iTreg","RNF213"
2.60502894104939e-23,0.687193468060634,0.672,0.379,3.36413437447119e-19,"iTreg","RGS1"
7.50356314451483e-23,-0.688047939826868,0.052,0.322,9.69010144482645e-19,"iTreg","AC092580.4"
9.58204187837941e-23,-0.668940335891772,0.997,0.997,1.23742488817392e-18,"iTreg","MT-CO3"
1.86413673548248e-22,0.430058742496165,0.71,0.456,2.40734618020207e-18,"iTreg","CCL5"
2.48735247487889e-22,0.280302952503961,0.371,0.115,3.2121669860586e-18,"iTreg","PMEPA1"
5.42841314994102e-22,0.508035421474862,0.971,0.824,7.01025274183384e-18,"iTreg","HILPDA"
6.4377922685789e-22,0.674932618673373,0.884,0.776,8.31376493564279e-18,"iTreg","RDX"
6.8450822254285e-22,0.648119572539561,0.8,0.658,8.83973918591836e-18,"iTreg","FDX1"
1.28493738427133e-21,0.322255191685059,0.313,0.084,1.659368138048e-17,"iTreg","FOXP3"
9.73604367991899e-21,-0.635899734593389,0.128,0.406,1.25731268082474e-16,"iTreg","HOPX"
1.00122298350204e-20,0.534222771560474,0.661,0.42,1.29297936089453e-16,"iTreg","PGM2L1"
1.06683887452965e-20,0.550080584322859,0.757,0.544,1.37771572256759e-16,"iTreg","GNPTAB"
1.78516897155437e-20,0.628673696826593,0.841,0.701,2.30536720986531e-16,"iTreg","SAMSN1"
2.91774935188812e-20,-0.588538328042497,0.974,0.988,3.76798151302832e-16,"iTreg","MT-ND3"
3.37486093882731e-20,0.508253862366337,0.864,0.701,4.35829541640158e-16,"iTreg","EVI2A"
3.69918748465642e-20,-0.837174178727081,0.632,0.806,4.7771307176853e-16,"iTreg","MRPS26"
