"feature","score"
"DUSP4",49.232853488312
"BHLHE40",44.3319509937245
"DHRS3",36.3959683846788
"LDHA",33.9823226522327
"DNAJC12",31.7824085887814
"MT-CYB",-29.7639474341433
"MT-ATP6",-28.6769799028278
"CTLA4",28.0727056644865
"BATF3",-27.8113324228654
"ANKRD37",27.7944101292421
"GAPDH",27.5506768411349
"SATB1",-26.5612851811101
"GSTO1",26.3548405992621
"VIM",26.1494178908825
"CYTIP",26.0026664333542
"LAPTM5",25.7793665900163
"IVNS1ABP",25.3956774645455
"MT-CO2",-24.8811187188099
"OXNAD1",24.0537581453834
"RNF213",-22.8990552762164
"RGS1",22.584187447463
"AC092580.4",-22.1247324584042
"MT-CO3",-22.0185419353867
"CCL5",21.7295222350681
"PMEPA1",21.6042626678671
"HILPDA",21.2653271061281
"RDX",21.1912630410188
"FDX1",21.1646213306074
"FOXP3",20.8911180352339
"HOPX",-20.0116174863489
"PGM2L1",19.9994691895337
"GNPTAB",19.9719011674421
"SAMSN1",19.7483206703414
"MT-ND3",-19.5349520187371
"EVI2A",19.471744117572
"MRPS26",-19.4318936569278
"UBE2B",19.2044308595524
"MIF",19.148227136985
"OCIAD2",18.7992384196015
"ENO2",18.5209095645331
"LAT",18.2059988066215
"RALA",17.8417092092284
"RHOG",17.7483291728111
"BTG1",17.1273921459328
"PPFIBP1",16.7810145357331
"APOBEC3H",16.7226961229244
"MT-ND5",-16.6820644061672
"SLC2A3",16.468556970595
"WDR54",16.4683264030447
"BNIP3L",16.4437869537
"NR3C1",16.4198788464885
"PHTF2",15.7976929471069
"WSB1",15.5629831453616
"PPP1R2",15.4912814103973
"BEND5",15.4649091070851
"PNRC1",15.4234688343679
"HERC5",-15.2040550557887
"LST1",15.0575332494424
"GEM",14.9858183088521
"APOD",14.9608304200643
"LINC00152",14.7733994362556
"MAL",-14.7274364284194
"RGS10",14.5512885946616
"INPP5F",14.4985834994011
"AIM2",-14.3330721849465
"NDFIP1",14.1459995954451
"MT-CO1",-14.1243559130019
"TSC22D3",13.9828393997547
"CACYBP",13.8899715571038
"WDR45B",13.7200757142335
"RPS6KA5",-13.6944616173361
"ATP1B1",13.6224165202589
"RSBN1",13.5696122088978
"HNRNPAB",-13.5385988438686
"RNF125",-13.4937230766468
"PIK3IP1",13.2857509791011
"VDAC1",13.1592934896157
"LMCD1",13.1023526136206
"ARPC1B",-13.0258563931114
"FXYD5",12.9250292694528
"SELL",12.8407957895477
"PARP1",-12.8001241378643
"LGALS1",12.7476496711292
"ZFP36L2",12.716000147814
"CFLAR",12.6799259037682
"CD44",12.660988735057
"IL2RA",12.6267342057411
"RGCC",12.5494707955294
"TRBC2",12.5091261495196
"C4orf3",12.4708554503772
"LBR",-12.3509740602345
"TNFAIP8",12.1501937862736
"MT-ND4",-11.9750893902772
"SDF2L1",-11.947422560311
"CLK1",11.9199380396581
"AIMP1",11.9088214958753
"PPM1K",-11.884446316298
"CNPY2",-11.8428641998875
"BNIP3",11.8320046611041
"ITM2A",11.8168111319647
